,dullness,acne,puffiness,elasticity,pores,darkspot,redness,uneven_texture,wrinkles
water,0.1667435621206444,0.16133086514084513,0.1700342065998117,0.16716074264065095,0.16407250383937394,0.1666639908435004,0.16319778098043644,0.1656620411777123,0.16542540813135811
glycolic_acid,2.289115220144966,2.2986348237897882,2.232875952612248,2.2898994513393576,2.276003843912367,2.3198471378454153,2.301220245203038,2.2956619080736944,2.2743385768333964
butylene_glycol,0.4323877427348566,0.4119617840186403,0.3919344632668409,0.43916267828382816,0.4251869574934759,0.4276552646114795,0.4294555593400961,0.4299845613504312,0.42475534593645836
glycerin,0.21063154297627834,0.19548177684235882,0.21977835814573812,0.2233269718098189,0.20337934475560726,0.2134639091183561,0.20219351447852654,0.21172360437208204,0.21840975140839528
sodium_hydroxide,1.2144532794862855,1.166128040786587,1.3982657429339997,1.1829006744820965,1.1940625311079271,1.1583947348284647,1.1713958250772758,1.2056651939399692,1.219022587234938
salicylic_acid,2.446290922377313,2.361441622857819,2.403330809081999,2.4777248248652093,2.369976557480233,2.3978373375998374,2.3665349569412037,2.4242544188538053,2.4758546313599212
lactic_acid,2.053344073746469,2.0854380998471984,2.068802832141698,2.0815407389178695,2.052389411395258,1.9598684226941872,2.093363027401409,2.0669770874368165,2.0271226773169677
citric_acid,0.824329906122802,0.88776142067697,0.6319866752717002,0.8054859232180849,0.8667045066269644,0.773214797474726,0.8074174881083167,0.8218149671109178,0.8257606941317746
vitis_vinifera_(grape)_juice_extract,4.2636874523309745,4.257270545725676,4.247927639999104,4.258684168379964,4.279369637445387,4.271856069565808,4.2544725221812465,4.271317670532606,4.245266873415114
aloe_barbadensis_leaf,1.6850810969784804,1.684183598469389,1.70978275244572,1.7110065454140828,1.6556197750024109,1.661927098894501,1.694305639701958,1.6862850389087751,1.7308261263435611
opuntia_ficus-indica_extract,4.999536045722914,0.0,0.0,0.0,5.0663430452394635,5.057296195836174,0.0,5.035980839974142,5.0545122378370495
aesculus_hippocastanum_(horse_chestnut)_seed_extract,4.4931766847519095,4.446348390794537,4.406927013375365,0.0,4.45782319907459,0.0,4.451251465090825,4.497357636307481,4.502050577715671
camellia_sinensis_leaf_extract,1.9140084976174838,1.9616830152968037,0.0,1.905796977343497,1.9528708246610404,1.8732940923338832,1.9513856005534558,1.9390221211464223,1.9138218724060567
rubus_idaeus_(raspberry)_fruit_extract,4.702277260371238,4.733674801316351,0.0,0.0,4.718934594790333,0.0,4.729678040966164,4.724724426953621,4.7013479077597085
saccharomyces_cerevisiae_extract,4.4838917473425575,0.0,0.0,4.484833970726829,4.487860598884588,4.460005128251513,0.0,4.492973712694655,4.4490370534621455
buddleja_davidii_meristem_cell_culture,5.747953697323899,0.0,0.0,0.0,5.753977030991643,0.0,0.0,5.762330022332876,5.745588858975098
sclerocarya_birrea_seed_oil,3.709970735051667,3.731576296425303,0.0,3.710479964266217,3.739408789726242,3.7071762084874353,3.7264636992290603,3.7311636524619907,3.693970983238432
sodium_hyaluronate_crosspolymer,3.6281638383164974,0.0,3.6238940674331,3.6060562594857304,3.647110985607936,3.6404159676154633,3.6769264404900435,3.6455119477482945,3.631824800474838
allantoin,2.00363370564266,1.914630126296548,1.8291473147533466,2.042333368990428,1.9820261173684897,2.0108006399945157,1.970795724105412,2.0168588599291675,2.0398672956243815
hydroxyethylcellulose,2.546077757699652,2.670553187612123,2.53444696352785,2.5644343001016185,2.607566247948112,2.549346896334452,2.6558975444910713,2.571408322575667,2.5553095614994157
galactoarabinan,4.215628142272104,4.25319072684731,4.215178777866878,4.236550632783726,4.219370610140698,4.242147953044681,4.241218534815893,4.231768562530716,4.240369836898072
propanediol,1.4056507033863452,1.4708077961273411,1.4142600388729873,1.4305159013887687,1.4600880717997653,1.480877105829634,1.4135494717298547,1.426053709404486,1.4372381361228597
disodium_edta,0.5831340148557785,0.6226860883394805,0.6286809099338405,0.5994395104908026,0.604193117993619,0.5254459195799345,0.6246333494878423,0.5871664923822358,0.5708848575903023
xanthan_gum,0.7508634435364185,0.7371331483064268,0.524874328821473,0.7628502653686382,0.802771168291059,0.785390004542414,0.7183607441964609,0.7426572600590268,0.7279992183870476
hexylene_glycol,1.9663380463112665,2.056518436775783,2.059886201210372,1.8927789672165989,1.980113181068264,1.7790456180874545,1.9802061455847688,1.916326384418927,1.924973101997142
phenoxyethanol,0.20228872863384728,0.20233710317029144,0.17798738525875873,0.17951432725106348,0.19203128806266337,0.18885273403438205,0.16501649561138812,0.1777009840975916,0.16471867848411237
caprylyl_glycol,0.848658633050268,0.8341591009688077,0.888186108757953,0.7822848694988508,0.8435039110301965,0.7382328707722364,0.8285309190594602,0.8178199555243807,0.7729390732199747
ethylhexylglycerin,0.9506436935402172,0.9658341456685915,0.5926727604835716,0.8646187766978567,0.9691084758363783,0.8564531453636227,0.879940424476299,0.9073182388045231,0.8938185223107339
sodium_nitrate,4.925883025983815,4.903876714719479,0.0,0.0,4.91840233045132,0.0,4.918991131976618,4.941809320089444,4.912299175784578
potassium_sorbate,1.0591972761217812,1.116319789877566,1.118951139486852,1.1003362883000196,1.0986225391423534,0.9363451740257196,1.055974625255131,1.0942769765683205,1.027716534263519
pentylene_glycol,1.6371005610921596,1.677370136103771,1.6986055717531936,1.6951048423980166,1.6694375279868496,1.6455907355389783,1.6537304100701191,1.6373246319460069,1.6080937302230554
sodium_benzoate,1.195748618681246,1.259227397556473,1.2872313258714152,1.1752176471222202,1.2122391694217962,1.1783218205291044,1.243809860773796,1.2219304901810149,1.2156913933575766
coco-glucoside,3.7128140913931964,3.7145942725613317,0.0,3.70732831169796,3.6877720370911753,3.736567917109392,3.7153955431004655,3.7326440018327407,3.710325032970534
peg-40_glyceryl_cocoate,3.8311315215550623,3.829989883061825,0.0,3.8412658216063047,3.836339515195929,3.842465848586422,3.818766506224381,3.8460237571981026,3.8378937973837077
soybean_oil,5.896990640856331,0.0,0.0,5.861505325500714,0.0,0.0,0.0,5.8874054718475515,5.878424449386251
sunflower_seed_oil_glyceride,5.06434738913355,4.999851808117902,0.0,5.057736658280954,5.050997465820292,0.0,5.043853003026615,5.061233113494468,5.064954810364634
borago_officinalis_seed_oil,4.308483433227601,4.303200603191549,0.0,4.320721300659848,4.323893389410208,0.0,4.3269126011240955,4.3302703422079585,4.333485043189964
prunus_mume_fruit_extract,4.600818712236027,0.0,4.570375627588155,4.5983730120053785,4.60732697525567,4.563249767887055,4.567980900011,4.594089144286114,4.620932651592692
rosa_damascena_extract,4.742430265605127,0.0,0.0,4.739354082427227,4.7509359037614045,4.726530154152079,0.0,4.7307856513627975,4.735027659486863
rosa_damascena_flower_oil,2.7713232018739165,2.83068766910711,2.7264614027996705,2.7623091959895447,2.8480694949135232,2.848514526489772,2.7954965425906044,2.7843465177462936,2.8370739451283558
centaurea_cyanus_flower_extract,6.451287433949952,0.0,0.0,0.0,0.0,0.0,0.0,6.455588362554277,0.0
soybean_sterols,5.758566264563053,0.0,0.0,5.73765721257957,0.0,0.0,0.0,5.753929614112261,5.750476047991786
panax_ginseng_root_extract,3.6097771907529226,3.6222503188615987,0.0,3.573125961040574,3.638553806798113,3.601647721371559,3.6505982263173955,3.6055607036939166,3.621189770891668
